Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
54.5,-2.155348017,15.50258427,0.073490667,-3.259300182,15.19606152,0.080904391
55,-2.194893285,15.494137,0.073671169,-3.271700073,15.19042975,0.081148297
55.5,-2.234438552,15.48568973,0.073851672,-3.284099963,15.18479799,0.081392203
56,-2.273880138,15.47783345,0.074043953,-3.294457057,15.17996335,0.081652413
56.5,-2.313321723,15.46997718,0.074236235,-3.30481415,15.17512871,0.081912623
57,-2.352351498,15.46271705,0.074439804,-3.313205552,15.17107841,0.082188642
57.5,-2.391381273,15.45545692,0.074643374,-3.321596954,15.16702811,0.082464661
58,-2.429706882,15.44879826,0.074857819,-3.3281063,15.1637494,0.082755978
58.5,-2.468032491,15.44213961,0.075072264,-3.334615646,15.16047068,0.083047295
59,-2.505407016,15.43608584,0.075297184,-3.339331634,15.15795088,0.083353386
59.5,-2.542781541,15.43003207,0.075522104,-3.344047622,15.15543107,0.083659478
60,-2.578973746,15.42458685,0.075757177,-3.347062666,15.15365756,0.083979808
60.5,-2.61516595,15.41914163,0.07599225,-3.35007771,15.15188405,0.084300139
61,-2.649977733,15.4143076,0.076237189,-3.351485758,15.15084442,0.08463417
61.5,-2.684789516,15.40947356,0.076482128,-3.352893805,15.14980479,0.0849682
62,-2.718053233,15.40525247,0.07673668,-3.352792591,15.14948652,0.085315369
62.5,-2.751316949,15.40103139,0.076991232,-3.352691376,15.14916825,0.085662539
63,-2.7828882,15.39742462,0.077255191,-3.351177878,15.14955904,0.086022287
63.5,-2.81445945,15.39381785,0.077519149,-3.34966438,15.14994984,0.086382035
64,-2.844242105,15.39082439,0.077792269,-3.346831592,15.15103784,0.086753813
64.5,-2.87402476,15.38783094,0.07806539,-3.343998803,15.15212585,0.087125591
65,-2.90193262,15.38545019,0.078347491,-3.339944189,15.15389886,0.087508819
65.5,-2.92984048,15.38306945,0.078629592,-3.335889574,15.15567186,0.087892047
66,-2.955818654,15.38129951,0.078920481,-3.330706033,15.15811803,0.088286155
66.5,-2.981796828,15.37952958,0.079211369,-3.325522491,15.16056419,0.088680264
67,-3.005814086,15.3783677,0.079510852,-3.319300476,15.16367183,0.089084685
